Date,rain_mm,station id,year,month,day
3/7/2008,124.1,4234109,2008,7,3
4/7/2008,1.5,4234109,2008,7,4
5/7/2008,0,4234109,2008,7,5
6/7/2008,0.5,4234109,2008,7,6
7/7/2008,17.5,4234109,2008,7,7
8/7/2008,0,4234109,2008,7,8
9/7/2008,0,4234109,2008,7,9
10/7/2008,0,4234109,2008,7,10
11/7/2008,0,4234109,2008,7,11
12/7/2008,0.4,4234109,2008,7,12
13/7/2008,21.6,4234109,2008,13,7
14/7/2008,17.6,4234109,2008,14,7
15/7/2008,15.9,4234109,2008,15,7
16/7/2008,0,4234109,2008,16,7
17/7/2008,0,4234109,2008,17,7
18/7/2008,0,4234109,2008,18,7
19/7/2008,1.4,4234109,2008,19,7
20/7/2008,1.1,4234109,2008,20,7
21/7/2008,0,4234109,2008,21,7
22/7/2008,8,4234109,2008,22,7
23/7/2008,47.3,4234109,2008,23,7
24/7/2008,17.5,4234109,2008,24,7
25/7/2008,0.3,4234109,2008,25,7
26/7/2008,27.5,4234109,2008,26,7
27/7/2008,2,4234109,2008,27,7
28/7/2008,0,4234109,2008,28,7
29/7/2008,0,4234109,2008,29,7
30/7/2008,0,4234109,2008,30,7
31/7/2008,0,4234109,2008,31,7
1/8/2008,0,4234109,2008,8,1
2/8/2008,0.5,4234109,2008,8,2
3/8/2008,4.5,4234109,2008,8,3
4/8/2008,0,4234109,2008,8,4
5/8/2008,57.5,4234109,2008,8,5
6/8/2008,6,4234109,2008,8,6
7/8/2008,29.5,4234109,2008,8,7
8/8/2008,0,4234109,2008,8,8
9/8/2008,0,4234109,2008,8,9
10/8/2008,0,4234109,2008,8,10
11/8/2008,2.4,4234109,2008,8,11
12/8/2008,36.1,4234109,2008,8,12
13/8/2008,0,4234109,2008,13,8
14/8/2008,0,4234109,2008,14,8
15/8/2008,0,4234109,2008,15,8
16/8/2008,4.3,4234109,2008,16,8
17/8/2008,1.2,4234109,2008,17,8
18/8/2008,34,4234109,2008,18,8
19/8/2008,6.5,4234109,2008,19,8
20/8/2008,0,4234109,2008,20,8
21/8/2008,0,4234109,2008,21,8
22/8/2008,0,4234109,2008,22,8
23/8/2008,0,4234109,2008,23,8
24/8/2008,0,4234109,2008,24,8
25/8/2008,0,4234109,2008,25,8
26/8/2008,0,4234109,2008,26,8
27/8/2008,0,4234109,2008,27,8
28/8/2008,0.6,4234109,2008,28,8
29/8/2008,0.4,4234109,2008,29,8
30/8/2008,0,4234109,2008,30,8
31/8/2008,0,4234109,2008,31,8
1/9/2008,15.5,4234109,2008,9,1
2/9/2008,5,4234109,2008,9,2
3/9/2008,0,4234109,2008,9,3
4/9/2008,0,4234109,2008,9,4
5/9/2008,0.5,4234109,2008,9,5
6/9/2008,0.5,4234109,2008,9,6
7/9/2008,0.5,4234109,2008,9,7
8/9/2008,30.9,4234109,2008,9,8
9/9/2008,0.6,4234109,2008,9,9
10/9/2008,0,4234109,2008,9,10
11/9/2008,0.5,4234109,2008,9,11
12/9/2008,0,4234109,2008,9,12
13/9/2008,8.5,4234109,2008,13,9
14/9/2008,30.5,4234109,2008,14,9
15/9/2008,0,4234109,2008,15,9
16/9/2008,20,4234109,2008,16,9
17/9/2008,3.2,4234109,2008,17,9
18/9/2008,15.1,4234109,2008,18,9
19/9/2008,1.7,4234109,2008,19,9
20/9/2008,0,4234109,2008,20,9
21/9/2008,8,4234109,2008,21,9
22/9/2008,0,4234109,2008,22,9
23/9/2008,0.5,4234109,2008,23,9
24/9/2008,0,4234109,2008,24,9
25/9/2008,0,4234109,2008,25,9
26/9/2008,41,4234109,2008,26,9
27/9/2008,0,4234109,2008,27,9
28/9/2008,3,4234109,2008,28,9
29/9/2008,45.6,4234109,2008,29,9
30/9/2008,12.9,4234109,2008,30,9
1/10/2008,0.5,4234109,2008,10,1
2/10/2008,4.5,4234109,2008,10,2
3/10/2008,0.7,4234109,2008,10,3
4/10/2008,8.3,4234109,2008,10,4
5/10/2008,0.5,4234109,2008,10,5
6/10/2008,0,4234109,2008,10,6
7/10/2008,0,4234109,2008,10,7
8/10/2008,5.6,4234109,2008,10,8
9/10/2008,2.9,4234109,2008,10,9
10/10/2008,0,4234109,2008,10,10
11/10/2008,0,4234109,2008,10,11
12/10/2008,0,4234109,2008,10,12
13/10/2008,2.5,4234109,2008,13,10
14/10/2008,1,4234109,2008,14,10
15/10/2008,0,4234109,2008,15,10
16/10/2008,0.5,4234109,2008,16,10
17/10/2008,0,4234109,2008,17,10
18/10/2008,0,4234109,2008,18,10
19/10/2008,0.5,4234109,2008,19,10
